對曰：「臣嘗有罪，【竊】計欲亡走燕。」〈廉頗〉	私下
對曰：「臣嘗有罪，竊【計】欲亡走燕。」〈廉頗〉	打算
對曰：「臣嘗有罪，竊計欲【亡】走燕。」〈廉頗〉	逃跑
君不如【肉袒】伏斧質請罪，則幸得脫矣。〈廉頗〉	赤身
君不如肉袒【伏】斧質請罪，則幸得脫矣。〈廉頗〉	俯伏
君不如肉袒伏斧【質】請罪，則幸得脫矣。〈廉頗〉	鐵砧
秦王以十五城請易寡人之璧，可予【不】？〈廉頗〉	否
相如曰：「秦以城求璧而趙不許，【曲】在趙。」〈廉頗〉	理虧
臣【語】曰：『臣嘗從大王與燕王會境上。」〈廉頗〉	告訴
臣語曰：『臣【嘗】從大王與燕王會境上。」〈廉頗〉	曾經
臣語曰：『臣嘗從大王與燕王【會】境上。」〈廉頗〉	相會
臣語曰：『臣嘗從大王與燕王會【境】上。」〈廉頗〉	邊境
臣等【不肖】，請辭去。〈廉頗〉	不才
臣竊以為其人勇士，有智謀，【宜】可使。〈廉頗〉	適宜
【均】之二策，寧許以負秦曲。〈廉頗〉	衡量/比較
秦昭王聞之，使人【遺】趙王書。〈廉頗〉	送給
王授璧，相如【因】持璧卻立，倚柱，怒髮上衝冠。〈廉頗〉	於是
王授璧，相如因持璧【卻】立，倚柱，怒髮上衝冠。〈廉頗〉	退後
王授璧，相如因持璧卻【立】，倚柱，怒髮上衝冠。〈廉頗〉	站?
左右或欲【引】相如去。〈廉頗〉	帶
趙王【悉】召群臣議。〈廉頗〉	全
秦王坐章台見相如，相如【奉】璧奏秦王。〈廉頗〉	獻給
【顧】吾念之，彊秦之所以不敢加兵於趙者，徒以吾兩人在也。〈廉頗〉	但
且以一璧之故逆彊秦之【驩】，不可。〈廉頗〉	歡
趙王畏秦，欲【毋】行。〈廉頗〉	不
今臣至，大王見臣列觀，禮節【甚】倨。〈廉頗〉	十分
今臣至，大王見臣列觀，禮節甚【倨】。〈廉頗〉	傲慢
且相如素【賤人】，吾羞，不忍為之下。〈廉頗〉	地位低下、出身微賤的人
且相如【素】賤人，吾羞，不忍為之下。〈廉頗〉	向來
燕畏趙，其勢必不敢留君，而【束】君歸趙矣。〈廉頗〉	綁縛/捆縛/捉拿
大王必欲【急】臣，臣頭今與璧俱碎於柱矣！〈廉頗〉	逼迫
相如持其璧【睨】柱，欲以擊柱。〈廉頗〉	斜視
秦城恐不可得，【徒】見欺。〈廉頗〉	白白
秦城恐不可得，徒【見】欺。〈廉頗〉	被/受
秦城恐不可得，徒見【欺】。〈廉頗〉	欺騙
【卒】廷見相如，畢禮而歸之。〈廉頗〉	最終
